링크ID,위험도,위험등급,시군구,읍면동,도로명,도로길이_m,차로수_편도,사고건수,사망자수,중상자수,경상자수,부상신고자수
1220003403,32.12,4,강남구,삼성동,영동대로,139,7,10,0,7,7,0
1220003501,0.54,1,강남구,삼성동,동부간선도로,846,1,5,0,2,7,0
1220003503,2.21,2,강남구,삼성동,동부간선도로,1045,1,11,0,4,7,2
1220003900,0.29,1,강남구,청담동,동부간선도로,1544,3,7,0,1,8,0
1220004001,12.64,3,강남구,삼성동,영동대로,77,7,8,0,1,18,0
1220004002,9.82,2,강남구,삼성동,영동대로,626,7,18,2,2,18,3
1220004101,0.79,1,강남구,삼성동,영동대로,77,6,3,0,0,3,0
1220004201,30.70,4,강남구,청담동,영동대로,446,7,27,0,10,29,4
1220004203,8.70,2,강남구,청담동,영동대로,104,5,7,0,3,6,0
1220004302,1.66,1,강남구,청담동,영동대로,150,7,6,0,0,7,1
1220004304,20.74,4,강남구,청담동,영동대로,386,7,25,0,6,40,5
1220004305,0.12,1,강남구,청담동,영동대로,58,6,1,0,0,1,0
1220004402,15.41,4,강남구,청담동,올림픽대로,805,4,33,0,6,51,6
1220004501,3.83,3,강남구,삼성동,올림픽대로,580,4,9,0,5,9,3
1220004502,0.17,1,강남구,청담동,올림픽대로,521,4,3,0,0,4,0
1220004600,0.03,1,강남구,압구정동,강남대로,230,1,1,0,0,1,0
1220004801,0.67,1,강남구,청담동,영동대로,63,3,2,0,0,3,2
1220004802,2.97,1,강남구,청담동,영동대로,277,3,5,0,3,6,1
1220005000,0.82,1,강남구,청담동,분당수서로,391,3,4,0,0,11,0
1220005100,0.41,1,강남구,청담동,분당수서로,382,3,3,0,1,3,0
1220005402,7.28,4,강남구,청담동,올림픽대로,537,4,15,0,4,26,1
1220005502,7.61,4,강남구,청담동,올림픽대로,1105,5,25,0,6,36,6
1220005503,3.94,3,강남구,청담동,올림픽대로,741,4,18,0,2,24,1
1220005701,15.10,4,강남구,압구정동,올림픽대로,702,4,21,0,8,35,3
1220005703,4.74,3,강남구,압구정동,올림픽대로,597,4,13,0,4,14,2
1220005901,2.81,1,강남구,세곡동,밤고개로,166,4,2,0,2,5,0
1220005902,2.15,1,강남구,세곡동,밤고개로,118,5,2,0,2,3,0
1220006003,0.76,1,강남구,율현동,헌릉로,287,5,4,0,1,7,2
1220006004,1.63,1,강남구,율현동,헌릉로,125,6,5,0,0,6,0
1220006005,0.00,1,강남구,율현동,헌릉로,105,6,0,0,0,0,0
1220006012,0.37,1,강남구,세곡동,헌릉로,319,2,1,0,1,0,0
1220006105,0.05,1,강남구,율현동,헌릉로,125,5,1,0,0,1,0
1220006106,0.00,1,강남구,율현동,헌릉로,105,6,0,0,0,0,0
1220006112,1.92,1,강남구,세곡동,헌릉로,414,5,5,0,2,16,4
1220006501,0.38,1,강남구,개포동,논현로,304,3,1,0,1,0,0
1220006502,0.45,1,강남구,개포동,논현로,324,3,4,0,1,2,1
1220006601,19.14,3,강남구,세곡동,밤고개로,97,5,6,0,5,3,2
1220006603,5.28,2,강남구,율현동,밤고개로,401,3,12,0,4,13,5
1220006604,44.63,4,강남구,율현동,밤고개로,1392,3,61,0,21,57,3
1220006701,44.58,4,강남구,세곡동,밤고개로,97,3,8,0,7,5,1
1220006702,4.28,2,강남구,율현동,밤고개로,720,3,7,0,5,5,1
1220006703,0.32,1,강남구,율현동,밤고개로,401,3,2,0,1,1,0
1220006704,4.32,2,강남구,수서동,밤고개로,1235,3,22,1,4,24,3
1220006705,2.97,1,강남구,수서동,밤고개로,43,3,2,0,1,1,0
1220006706,52.76,4,강남구,수서동,밤고개로,120,4,18,2,3,15,4
1220006802,2.10,1,강남구,개포동,언주로,75,4,3,0,1,3,0
1220006803,5.78,2,강남구,개포동,언주로,452,4,9,0,5,10,1
1220006902,0.82,1,강남구,개포동,언주로,75,4,3,0,0,3,0
1220006903,22.50,4,강남구,개포동,언주로,452,4,22,0,8,25,0
1220007101,3.65,2,강남구,개포동,개포로,260,2,8,0,2,11,0
1220007102,11.54,3,강남구,개포동,개포로,632,2,15,1,8,9,1
1220007400,5.09,2,강남구,개포동,선릉로,423,2,10,0,4,7,0
1220007500,0.33,1,강남구,개포동,선릉로,423,2,2,0,1,3,0
1220007900,0.42,1,강남구,도곡동,양재천로,385,1,4,0,1,3,1
1220008002,0.45,1,강남구,일원동,광평로,63,3,2,0,0,2,1
1220008003,0.00,1,강남구,일원동,광평로,176,3,0,0,0,0,0
1220008004,0.05,1,강남구,개포동,광평로,311,3,1,0,0,2,0
1220008005,3.14,2,강남구,개포동,광평로,115,2,1,0,3,0,0
1220008104,3.70,2,강남구,개포동,광평로,302,3,2,1,1,0,0
1220008600,4.21,2,강남구,개포동,선릉로,438,2,11,0,4,9,3
1220008700,1.10,1,강남구,개포동,선릉로,438,2,2,0,2,0,0
1220009200,1.14,1,강남구,도곡동,남부순환로378길,217,1,4,0,1,6,0
1220009502,0.01,1,강남구,개포동,삼성로,478,3,1,0,0,1,0
1220009700,0.20,1,강남구,개포동,삼성로3길,712,1,4,0,1,1,2
1220009802,0.00,1,강남구,도곡동,양재천로,190,1,0,0,0,0,0
1220010001,0.03,1,강남구,일원동,광평로,250,3,1,0,0,1,0
1220010004,5.39,2,강남구,수서동,광평로,260,3,3,0,4,2,0
1220010005,7.53,2,강남구,수서동,광평로,127,4,10,0,2,9,1
1220010102,0.43,1,강남구,수서동,광평로,575,3,7,0,0,6,1
1220010103,20.72,4,강남구,수서동,광평로,482,3,13,0,9,8,3
1220010104,0.78,1,강남구,수서동,광평로,255,3,4,0,1,4,0
1220010203,1.45,1,강남구,도곡동,남부순환로,195,4,6,0,1,6,1
1220010204,6.96,2,강남구,도곡동,남부순환로,281,4,12,0,4,10,3
1220010303,11.43,3,강남구,도곡동,남부순환로,195,4,8,0,5,14,1
1220010304,21.28,4,강남구,도곡동,남부순환로,281,4,20,0,6,20,2
1220010400,1.84,1,강남구,도곡동,남부순환로378길,176,1,8,0,1,5,4
1220010600,12.52,3,강남구,도곡동,남부순환로,367,4,19,0,6,13,5
1220010700,16.01,3,강남구,도곡동,남부순환로,370,4,12,0,9,14,9
1220010801,0.61,1,강남구,일원동,일원로,246,2,2,0,1,4,0
1220010802,3.67,2,강남구,일원동,일원로,152,2,5,0,2,5,1
1220010803,2.63,1,강남구,일원동,일원로,238,3,7,0,1,12,0
1220010902,0.00,1,강남구,일원동,일원로,152,2,0,0,0,0,0
1220010903,1.15,1,강남구,일원동,일원로,238,3,4,0,2,2,1
1220011001,0.07,1,강남구,개포동,선릉로,277,2,3,0,0,1,2
1220011101,0.00,1,강남구,개포동,선릉로,273,2,0,0,0,0,0
1220011200,0.00,1,강남구,개포동,삼성로4길,309,1,0,0,0,0,0
1220011300,3.10,2,강남구,개포동,삼성로4길,311,1,2,0,4,0,0
1220011401,1.47,1,강남구,도곡동,언주로,84,4,2,0,1,1,0
1220011402,1.49,1,강남구,도곡동,언주로,92,4,2,0,1,3,1
1220011403,0.13,1,강남구,도곡동,언주로,51,3,1,0,0,1,1
1220011502,0.30,1,강남구,도곡동,언주로,90,6,2,0,0,2,0
1220011503,3.07,2,강남구,도곡동,언주로,53,6,2,0,1,6,0
1220011601,0.00,1,강남구,도곡동,양재천로,63,1,0,0,0,0,0
1220011602,2.16,1,강남구,도곡동,양재천로,115,1,2,0,2,1,0
1220011604,0.00,1,강남구,대치동,양재천로,233,1,0,0,0,0,0
1220011702,0.59,1,강남구,도곡동,양재천로,115,1,2,0,0,5,2
1220011902,25.02,4,강남구,도곡동,강남대로,529,5,29,0,9,26,1
1220011903,22.33,4,강남구,도곡동,강남대로,64,6,5,0,4,2,1
1220012100,5.14,2,강남구,개포동,개포로,877,2,11,0,6,6,1
1220012300,0.00,1,강남구,개포동,영동대로3길,414,1,0,0,0,0,0
1220012402,0.25,1,강남구,도곡동,남부순환로,54,4,1,0,0,2,0
1220012502,0.00,1,강남구,도곡동,남부순환로,59,5,0,0,0,0,0
1220012600,0.52,1,강남구,개포동,삼성로,352,3,4,0,1,3,0
1220012801,0.00,1,강남구,일원동,양재대로,82,2,0,0,0,0,0
1220012803,1.89,1,강남구,일원동,양재대로,381,4,3,0,3,3,0
1220012901,0.00,1,강남구,일원동,양재대로,82,2,0,0,0,0,0
1220012902,0.02,1,강남구,일원동,양재대로,162,2,1,0,0,0,1
1220012903,9.91,2,강남구,일원동,양재대로,379,4,10,0,6,9,2
1220013100,0.00,1,강남구,개포동,개포로88길,306,1,0,0,0,0,0
1220013201,15.86,3,강남구,수서동,광평로,80,5,7,0,3,8,0
1220013202,0.00,1,강남구,수서동,광평로,49,5,0,0,0,0,0
1220013203,3.73,2,강남구,수서동,광평로,268,2,1,1,0,0,0
1220013302,21.98,4,강남구,수서동,광평로,80,5,11,0,3,13,2
1220013303,3.89,2,강남구,수서동,광평로,49,5,4,0,0,7,0
1220013306,0.00,1,강남구,수서동,광평로,204,1,0,0,0,0,0
1220013401,1.96,1,강남구,도곡동,논현로,323,3,8,0,2,8,0
1220013502,2.40,1,강남구,도곡동,논현로,447,3,9,0,2,12,1
1220013600,0.10,1,강남구,개포동,개포로,268,2,2,0,0,2,0
1220013700,0.16,1,강남구,개포동,개포로,268,2,4,0,0,2,2
1220014301,0.00,1,강남구,도곡동,남부순환로,51,4,0,0,0,0,0
1220014500,9.23,2,강남구,일원동,양재대로,612,4,18,0,7,25,5
1220014600,0.00,1,강남구,일원동,영동대로4길,342,1,0,0,0,0,0
1220014802,7.98,2,강남구,일원동,일원로,264,2,9,0,4,7,1
1220014902,2.54,1,강남구,일원동,일원로,264,2,5,0,2,9,0
1220015000,0.09,1,강남구,개포동,삼성로,291,3,2,0,0,2,0
1220015201,0.06,1,강남구,대치동,양재천로,426,1,2,0,0,2,0
1220015203,0.67,1,강남구,대치동,양재천로,174,1,1,0,1,1,0
1220015401,1.21,1,강남구,역삼동,도곡로,116,4,4,0,0,5,1
1220015402,2.47,1,강남구,역삼동,도곡로,50,4,2,0,1,1,0
1220015403,3.81,2,강남구,역삼동,도곡로,159,3,7,0,2,5,1
1220015501,2.41,1,강남구,역삼동,도곡로,116,3,5,0,1,6,0
1220015502,2.47,1,강남구,역삼동,도곡로,50,3,2,0,1,1,0
1220015503,6.23,2,강남구,역삼동,도곡로,159,3,9,0,2,11,2
1220015600,3.49,2,강남구,개포동,개포로,385,2,4,1,2,5,1
1220015700,5.04,2,강남구,개포동,개포로,389,2,7,0,4,2,1
1220015800,0.00,1,강남구,일원동,개포로110길,315,1,0,0,0,0,0
1220015900,0.48,1,강남구,일원동,개포로110길,318,1,4,0,1,2,1
1220016002,5.02,2,강남구,도곡동,언주로,645,3,16,0,4,21,6
1220016301,9.60,2,강남구,역삼동,강남대로,60,5,6,0,2,4,0
1220016302,39.43,4,강남구,역삼동,강남대로,351,5,23,0,11,13,3
1220016400,0.62,1,강남구,일원동,개포로110길,240,1,3,0,1,2,0
1220016500,0.03,1,강남구,일원동,개포로110길,239,1,1,0,0,1,0
1220016601,1.24,1,강남구,역삼동,도곡로,160,3,4,0,1,4,0
1220016702,8.51,2,강남구,도곡동,도곡로,389,3,16,0,4,21,2
1220017001,1.37,1,강남구,일원동,양재대로,571,4,5,0,3,4,0
1220017002,0.00,1,강남구,수서동,양재대로,292,4,0,0,0,0,0
1220017101,1.97,1,강남구,일원동,양재대로,602,4,4,1,1,5,0
1220017102,2.36,1,강남구,수서동,양재대로,258,3,5,0,2,7,0
1220017202,13.09,3,강남구,일원동,개포로,337,2,12,0,6,6,1
1220017300,1.05,1,강남구,일원동,개포로,337,2,7,0,0,8,5
1220017400,26.66,4,강남구,일원동,양재대로55길,332,2,27,0,7,23,6
1220017500,1.77,1,강남구,일원동,양재대로55길,332,1,5,0,2,5,1
1220017600,6.42,2,강남구,역삼동,도곡로7길,411,2,15,0,4,11,2
1220017700,1.93,1,강남구,역삼동,도곡로7길,411,2,9,0,1,12,0
1220017900,0.27,1,강남구,일원동,일원로,312,2,3,0,0,4,0
1220018001,0.14,1,강남구,일원동,일원로3길,293,1,4,0,0,2,2
1220018002,0.02,1,강남구,일원동,일원로3길,313,1,1,0,0,1,0
1220018101,0.44,1,강남구,일원동,일원로3길,293,1,2,0,1,1,1
1220018102,0.39,1,강남구,일원동,일원로3길,313,1,1,0,1,0,0
1220018300,1.45,1,강남구,대치동,삼성로,356,3,5,0,2,3,2
1220018402,31.37,4,강남구,대치동,남부순환로,347,4,16,0,10,9,2
1220018501,60.39,4,강남구,대치동,남부순환로,452,4,30,0,16,31,5
1220018502,8.66,2,강남구,대치동,남부순환로,347,4,17,0,4,17,2
1220018601,0.05,1,강남구,일원동,개포로,153,2,1,0,0,1,0
1220018602,0.00,1,강남구,일원동,개포로,164,2,0,0,0,0,0
1220018701,0.79,1,강남구,일원동,개포로,153,2,1,0,1,0,0
1220018803,0.00,1,강남구,수서동,양재대로,126,4,0,0,0,0,0
1220018902,1.90,1,강남구,수서동,양재대로,246,3,2,0,2,1,0
1220019001,4.95,2,강남구,역삼동,도곡로,403,3,14,0,3,14,4
1220019002,7.10,2,강남구,역삼동,도곡로,151,4,4,0,3,3,0
1220019101,31.60,4,강남구,도곡동,도곡로,403,3,25,0,10,29,6
1220019102,13.13,3,강남구,도곡동,도곡로,150,4,12,0,3,14,0
1220019200,19.21,3,강남구,도곡동,선릉로,635,3,21,0,10,16,0
1220019300,1.26,1,강남구,대치동,선릉로,635,3,10,0,2,7,3
1220019401,3.12,2,강남구,역삼동,역삼로,169,2,10,0,1,8,2
1220019402,3.12,2,강남구,역삼동,역삼로,157,2,3,0,2,1,0
1220019502,3.47,2,강남구,역삼동,역삼로,157,2,5,0,2,3,1
1220019601,2.82,1,강남구,개포동,개포로109길,234,1,8,0,2,5,1
1220019602,0.00,1,강남구,개포동,개포로109길,113,1,0,0,0,0,0
1220019603,0.00,1,강남구,개포동,개포로개포로109길사이,210,2,0,0,0,0,0
1220019702,1.38,1,강남구,개포동,개포로109길,108,1,3,0,1,2,0
1220019703,0.79,1,강남구,개포동,개포로개포로109길사이,190,2,3,0,1,2,0
1220019901,0.21,1,강남구,역삼동,논현로,132,3,2,0,0,2,1
1220019902,4.67,2,강남구,역삼동,논현로,277,3,14,0,2,14,5
1220020403,0.23,1,강남구,일원동,개포로140길,44,1,2,0,0,1,1
1220020502,0.45,1,강남구,일원동,개포로,278,2,2,0,1,0,1
1220020503,0.00,1,강남구,일원동,개포로140길,44,1,0,0,0,0,0
1220020505,0.00,1,강남구,일원동,개포로,317,2,0,0,0,0,0
1220020700,34.10,4,강남구,역삼동,역삼로,551,2,29,0,13,19,3
1220020801,1.99,1,강남구,역삼동,도곡로,161,5,6,0,1,6,0
1220020803,1.11,1,강남구,역삼동,도곡로,294,3,7,0,1,6,2
1220020903,1.51,1,강남구,도곡동,도곡로,294,5,7,0,1,8,1
1220021103,28.51,4,강남구,역삼동,강남대로,195,5,22,0,5,24,3
1220021302,27.68,4,강남구,대치동,남부순환로,471,4,29,0,9,29,4
1220021403,1.96,1,강남구,역삼동,언주로,146,4,6,0,1,5,0
1220021503,9.14,2,강남구,역삼동,언주로,146,4,6,1,1,8,0
1220021504,0.40,1,강남구,역삼동,언주로,202,5,3,0,0,4,0
1220021700,30.56,4,강남구,역삼동,테헤란로8길,585,2,34,0,10,36,4
1220021801,1.37,1,강남구,대치동,삼성로,165,4,4,0,1,5,0
1220021802,27.18,4,강남구,대치동,삼성로,358,3,19,0,9,18,4
1220021902,0.28,1,강남구,대치동,삼성로,165,4,3,0,0,3,1
1220021903,5.42,2,강남구,대치동,삼성로,358,4,6,0,4,1,1
1220022200,10.36,3,강남구,역삼동,역삼로,567,2,20,0,6,18,3
1220022501,4.17,2,강남구,대치동,도곡로,173,4,3,0,3,3,1
1220022601,27.11,4,강남구,대치동,도곡로,173,4,11,0,6,10,0
1220022602,1.54,1,강남구,대치동,도곡로,398,3,8,0,1,10,1
1220022603,4.28,2,강남구,대치동,도곡로,193,4,9,0,2,7,1
1220022901,6.82,2,강남구,역삼동,논현로,416,3,14,0,4,18,3
1220023001,68.30,4,강남구,역삼동,논현로,416,3,30,0,16,22,2
1220023002,8.36,2,강남구,역삼동,논현로,172,4,10,0,3,8,3
1220023101,1.35,1,강남구,역삼동,선릉로,156,3,6,0,1,3,4
1220023102,30.56,4,강남구,역삼동,선릉로,143,3,9,0,7,7,1
1220023103,0.05,1,강남구,역삼동,선릉로,130,2,1,0,0,1,0
1220023201,3.14,2,강남구,대치동,선릉로,156,3,3,0,2,1,0
1220023203,0.98,1,강남구,대치동,선릉로,130,3,3,0,1,1,1
1220023402,82.42,4,강남구,역삼동,테헤란로,320,4,43,0,12,48,6
1220023802,0.92,1,강남구,역삼동,역삼로,305,2,5,0,0,8,0
1220023902,0.42,1,강남구,역삼동,역삼로,305,3,2,0,1,1,0
1220024102,12.53,3,강남구,역삼동,테헤란로,165,4,10,0,4,14,0
1220024103,11.17,3,강남구,역삼동,테헤란로,117,6,12,0,2,13,1
1220024201,20.77,4,강남구,대치동,도곡로,623,4,38,0,6,42,5
1220024301,13.09,3,강남구,대치동,도곡로,623,4,19,1,8,13,5
1220024400,0.95,1,강남구,대치동,삼전로,267,3,5,0,1,5,0
1220024500,9.11,2,강남구,대치동,삼전로,267,3,6,0,5,7,0
1220024602,36.53,4,강남구,역삼동,언주로,146,3,13,0,7,12,3
1220024701,2.47,1,강남구,역삼동,언주로,336,4,10,0,1,13,2
1220024801,66.12,4,강남구,대치동,삼성로,159,4,19,0,9,13,3
1220024802,22.11,4,강남구,대치동,삼성로,283,3,12,0,7,10,1
1220024901,3.19,2,강남구,대치동,삼성로,159,3,4,0,2,3,0
1220024902,0.87,1,강남구,대치동,삼성로,283,3,5,0,1,6,2
1220024903,0.40,1,강남구,대치동,삼성로,68,4,2,0,0,2,0
1220025102,31.38,4,강남구,역삼동,강남대로,180,5,19,0,9,26,3
1220025103,104.81,4,강남구,역삼동,강남대로,596,5,79,1,16,93,16
1220025401,5.71,2,강남구,대치동,역삼로,173,2,10,0,2,10,4
1220025402,4.71,2,강남구,대치동,역삼로,383,2,11,0,4,9,4
1220025501,12.60,3,강남구,대치동,역삼로,173,2,10,0,5,9,0
1220025503,1.29,1,강남구,대치동,역삼로,186,2,6,0,1,5,2
1220025601,0.56,1,강남구,대치동,도곡로,107,4,3,0,0,4,1
1220025701,4.46,2,강남구,대치동,도곡로,107,3,4,0,2,1,1
1220025702,0.58,1,강남구,대치동,도곡로,389,3,5,0,1,4,0
1220025801,6.38,2,강남구,역삼동,선릉로,80,3,4,0,2,2,1
1220025804,33.98,4,강남구,역삼동,선릉로,89,2,7,0,5,1,1
1220025901,4.71,2,강남구,대치동,선릉로,80,2,6,0,1,9,1
1220025904,1.31,1,강남구,대치동,선릉로,89,2,1,0,1,1,0
1220026203,31.53,4,강남구,역삼동,논현로,456,3,35,0,8,42,5
1220026303,23.76,4,강남구,역삼동,논현로,456,3,28,0,9,28,5
1220026400,9.93,2,강남구,대치동,역삼로,621,2,19,0,6,20,2
1220026601,1.58,1,강남구,대치동,삼성로,78,4,2,0,1,1,0
1220026602,2.49,1,강남구,대치동,삼성로,203,3,8,0,1,9,2
1220026701,0.13,1,강남구,대치동,삼성로,78,3,2,0,0,1,1
1220026702,4.26,2,강남구,대치동,삼성로,203,3,6,0,3,6,0
1220026801,26.39,4,강남구,삼성동,테헤란로,169,5,21,0,5,22,3
1220026803,2.67,1,강남구,삼성동,테헤란로,203,4,7,0,1,10,0
1220026804,12.03,3,강남구,삼성동,테헤란로,147,4,10,0,4,10,4
1220026902,48.85,4,강남구,대치동,테헤란로,203,4,16,0,9,11,2
1220027001,0.07,1,강남구,대치동,역삼로,200,2,1,0,0,2,0
1220027002,0.00,1,강남구,대치동,역삼로107길,127,2,0,0,0,0,0
1220027101,19.59,3,강남구,대치동,역삼로,200,2,12,0,6,8,3
1220027403,21.89,4,강남구,역삼동,언주로,344,4,25,0,6,27,6
1220027504,19.90,3,강남구,역삼동,언주로,128,5,13,0,3,22,0
1220027602,9.77,2,강남구,역삼동,선릉로,208,2,7,0,4,8,0
1220027603,22.94,4,강남구,역삼동,선릉로,466,2,22,0,9,15,2
1220027703,13.33,3,강남구,삼성동,선릉로,459,3,21,0,6,18,3
1220028001,22.65,4,강남구,삼성동,테헤란로,265,4,19,0,6,22,1
1220028002,12.43,3,강남구,삼성동,테헤란로,242,6,13,0,5,11,0
1220028003,6.96,2,강남구,삼성동,테헤란로,110,6,10,0,2,7,2
1220028101,30.84,4,강남구,대치동,테헤란로,265,4,22,0,7,23,2
1220028103,20.19,4,강남구,대치동,테헤란로,110,5,11,1,2,15,2
1220028201,13.03,3,강남구,논현동,봉은사로,314,3,20,0,2,30,4
1220028202,29.79,4,강남구,논현동,봉은사로,118,3,8,0,7,9,0
1220028401,0.10,1,강남구,대치동,테헤란로114길,177,1,2,0,0,2,1
1220028402,5.67,2,강남구,대치동,테헤란로114길,153,1,7,0,3,5,1
1220028501,0.04,1,강남구,대치동,테헤란로114길,172,1,1,0,0,1,0
1220028502,0.05,1,강남구,대치동,테헤란로114길,152,1,1,0,0,1,0
1220028802,6.53,2,강남구,삼성동,테헤란로,143,4,10,0,2,9,3
1220028803,2.23,1,강남구,삼성동,테헤란로,169,4,8,0,1,6,1
1220028903,3.76,2,강남구,대치동,테헤란로,169,4,10,0,1,12,3
1220029201,3.18,2,강남구,삼성동,삼성로,191,4,7,0,2,5,1
1220029202,10.45,3,강남구,삼성동,삼성로,553,3,26,0,6,19,6
1220029301,5.57,2,강남구,삼성동,삼성로,191,4,4,0,3,2,0
1220029302,8.93,2,강남구,삼성동,삼성로,553,3,19,0,5,24,1
1220029400,1.22,1,강남구,삼성동,올림픽로,107,4,2,0,1,2,1
1220029500,0.13,1,강남구,대치동,올림픽로,107,4,1,0,0,2,2
1220029802,5.01,2,강남구,논현동,언주로,138,5,7,0,2,8,2
1220029803,16.35,3,강남구,논현동,언주로,449,4,21,0,7,17,5
1220029804,13.31,3,강남구,논현동,언주로,155,4,13,0,3,20,6
1220029901,5.60,2,강남구,논현동,언주로,138,4,7,0,2,9,0
1220029902,1.37,1,강남구,논현동,언주로,443,4,7,0,1,12,0
1220030001,19.23,3,강남구,삼성동,봉은사로,528,3,20,0,9,19,3
1220030002,25.57,4,강남구,삼성동,봉은사로,148,3,17,0,5,13,7
1220030101,1.03,1,강남구,삼성동,봉은사로,528,3,8,0,0,10,0
1220030703,32.14,4,강남구,논현동,강남대로,173,5,23,0,3,37,6
1220030801,2.08,1,강남구,삼성동,봉은사로,272,3,5,0,2,4,2
1220030802,6.37,2,강남구,삼성동,봉은사로,353,3,14,0,3,16,1
1220030901,18.19,3,강남구,삼성동,봉은사로,270,3,16,0,6,14,4
1220030902,15.06,3,강남구,삼성동,봉은사로,353,4,21,0,5,31,4
1220031002,2.23,1,강남구,논현동,선릉로,54,2,1,0,1,0,0
1220031003,0.00,1,강남구,논현동,선릉로,111,2,0,0,0,0,0
1220031004,0.15,1,강남구,논현동,선릉로,161,2,2,0,0,3,1
1220031005,2.88,1,강남구,논현동,선릉로,83,2,4,0,1,6,0
1220031101,3.38,2,강남구,삼성동,선릉로,393,2,9,0,3,8,1
1220031103,0.12,1,강남구,삼성동,선릉로,111,2,1,0,0,2,0
1220031104,1.14,1,강남구,삼성동,선릉로,161,3,4,0,1,3,1
1220031105,26.35,4,강남구,삼성동,선릉로,83,3,9,0,5,9,0
1220031401,7.66,2,강남구,삼성동,봉은사로,523,3,16,0,5,17,4
1220031402,9.33,2,강남구,삼성동,봉은사로,53,2,4,0,2,2,0
1220031600,1.57,1,강남구,삼성동,봉은사로,118,2,3,0,1,5,1
1220031700,0.46,1,강남구,삼성동,봉은사로,118,2,2,0,0,4,0
