관측일자,,지점명,평균기온(℃),최저기온(℃),최대기온(℃),평균습도(%),최저습도(%),최고습도(%),평균풍속(m/s),최대풍속(m/s),강수량(mm)
20120102,1171,종로,-2.4,-5.4,-0.7,62.8,52.9,72.2,1.3,3.5,0
20120102,1170,중구,-2.7,-5.4,-0.1,48.4,39,59.4,1.6,4.4,0
20120102,1169,중랑,-2.4,-5.7,-0.9,62,55.3,73.5,1.6,4.3,0
20120103,1159,강남,-3.8,-6,0.2,71.9,52.3,85.4,1.3,4.9,0
20120103,1175,강동,-3.4,-6.4,0.8,70.8,48.8,89.8,2.1,6.3,0
20120103,1165,강북,-4,-6.5,-0.1,70.8,53.8,82.8,1.2,5.4,0
20120103,1176,강서,-3.7,-6.1,0.2,75.3,53.4,89.8,1.7,4.7,0
20120103,1174,관악,-3.4,-5.6,0.2,68.2,46.7,91.6,1,5.8,0
20120103,1164,광진,-3.4,-6.1,0.3,68.5,49.3,85.4,1.7,5.1,0
20120103,1156,구로,-3.3,-5.7,0.8,70.9,48.5,91.3,2,6.6,0
20120103,1161,금천,-3.6,-5.9,0.7,70.7,46.4,90.1,1.8,5.9,0
20120103,1151,남산,-4.3,-6.5,-0.4,76.5,54.9,91.7,1.6,4.6,0
20120103,1163,노원,-4.1,-7.1,-0.1,75.5,54.2,92.2,1,4,0
20120103,1154,도봉,-4.8,-8.3,-0.4,73.9,53.6,87.1,1,5,0
20120103,1152,동대문,-3.9,-6.6,0.2,72.6,52.3,90,1.8,6,0
20120103,1173,동작,-3.2,-5.3,0.3,68.8,47.6,87.7,1.9,6.1,0
20120103,1155,마포,-4,-6.5,0.3,72.1,48.5,86.4,1.4,4.8,0
20120103,1160,서대문,-4.5,-6.6,-0.5,73.7,53.2,88.6,2.1,6,0
20120103,1158,서초,-3,-5.3,1.1,62.9,41.3,78.7,1.5,6,0
20120103,1168,성동,-3.5,-6,1,65.7,41.6,83.4,1.9,6.4,0
20120103,1153,성북,-4.2,-6.4,-0.5,70.1,53.3,82.9,1.4,5.5,0
20120103,1166,송파,-2.5,-7.4,0.9,72.5,47.8,85,1.2,3.3,0
20120103,1162,양천,-3.2,-5.6,0.8,70.4,49.3,88.2,1.7,5.9,0
20120103,1157,영등포,-3.6,-5.7,0.4,74.7,52.2,93.2,2.7,7.3,0
20120103,1167,용산,-3,-5.2,0.9,65.7,45,86.2,1.7,5.6,0
20120103,1172,은평,-4,-6.2,0.1,66.3,45.2,84.1,2.2,6.5,0
20120103,1171,종로,-3.5,-5.6,0.3,69.5,51.1,84.9,1.3,4.1,0
20120103,1170,중구,-4.3,-7.2,0.7,56.4,36.1,72.7,1.6,6,0
20120103,1169,중랑,-3.8,-6.2,0.2,69.7,49.6,91.8,1.7,5.8,0
20120104,1159,강남,-6.4,-8.4,-3.9,57.3,42.3,69.4,2.4,5.6,0
20120104,1175,강동,-6.1,-8.1,-3.5,55.6,42.8,63.5,3.3,6.7,0
20120104,1165,강북,-6.5,-8.8,-3.2,56.4,43,64.8,1.7,5.7,0
20120104,1176,강서,-6.3,-8.3,-3.8,62.4,46.4,79.3,2.2,4.9,0
20120104,1174,관악,-6.4,-8.4,-3.6,58.3,43.2,73.1,1.3,5,0
20120104,1164,광진,-5.9,-8.1,-3.4,53.7,41.1,61.4,2.6,5.1,0
20120104,1156,구로,-6.4,-8.5,-3.6,61.1,43.9,74.8,2.9,6.5,0
20120104,1161,금천,-6.4,-8.5,-3.2,59.7,43.5,72.7,2.6,5.3,0
20120104,1151,남산,-7.1,-9.2,-4.6,63.9,47.4,74.8,1.8,4.2,0
20120104,1163,노원,-6.2,-8.6,-3.3,58.5,43.7,68.9,1.4,4,0
20120104,1154,도봉,-6.8,-9.2,-3.6,58.4,43.6,67.5,1.7,4.4,0
20120104,1152,동대문,-6.2,-8.3,-3.7,57.1,44.2,66.3,2.2,6.1,0
20120104,1173,동작,-5.9,-7.8,-3.1,57.6,42.7,76,2.5,5.4,0
20120104,1155,마포,-6.6,-8.7,-3.6,59.5,43.3,74.5,1.9,4.6,0
20120104,1160,서대문,-7.3,-9.5,-4.4,61.6,45.6,71.5,2.3,6.1,0
20120104,1158,서초,-5.5,-7.6,-2.9,51.7,37.4,65.6,2.3,5.1,0
20120104,1168,성동,-6.3,-8.2,-2.9,52.5,34.5,64.2,2.9,6,0
20120104,1153,성북,-6.9,-9.1,-4.5,56.5,45.3,64.3,1.9,5.1,0
20120104,1166,송파,-5.3,-7.6,-3.1,50.4,41.1,61.2,1.4,4.6,0
20120104,1162,양천,-6.1,-8.2,-3.1,58.9,42,73,2.2,5,0
20120104,1157,영등포,-6.4,-8.3,-3.7,61.8,45.7,79.1,4,8.9,0
20120104,1167,용산,-6,-8,-3.4,54.4,38.5,69.9,2.4,5.5,0
20120104,1172,은평,-6.8,-9,-4,55.7,39.9,64.8,2.8,6.6,0
20120104,1171,종로,-6.5,-8.7,-3.6,58.1,42.7,67.4,1.8,5.1,0
20120104,1170,중구,-7,-9.4,-3.3,43.2,27.7,53.7,2.6,5.7,0
20120104,1169,중랑,-6.3,-8.5,-3.9,55.7,43.1,64.2,2.2,4.8,0
20120105,1159,강남,-5,-9,-1,54.7,34.3,77.2,1.2,4,0
20120105,1175,강동,-4.9,-9.5,-1.2,54.4,32.2,77.6,1.7,5.9,0
20120105,1165,강북,-5.1,-9.5,-0.6,53.4,33.7,72.9,1,3.9,0
20120105,1176,강서,-5.1,-8.5,-1.6,60.9,37,81,1.2,4,0
20120105,1174,관악,-4.6,-7.4,-1.2,50.6,29.5,67.9,0,2.6,0
20120105,1164,광진,-4.6,-9.1,-0.8,49.5,31.1,66.1,1.3,5.3,0
20120105,1156,구로,-4.4,-7.5,-0.8,54,31.1,69.6,1.4,4.8,0
20120105,1161,금천,-5,-8.6,-0.5,56.2,30.7,76.9,1.4,4.4,0
20120105,1151,남산,-5.8,-9.5,-1.9,58.6,37.9,76.1,1.2,3.4,0
20120105,1163,노원,-5.4,-10,-0.5,55.6,34.5,77.8,0.7,3,0
20120105,1154,도봉,-6.4,-11.3,-0.9,58.7,33.5,80.7,0.7,3.4,0
20120105,1152,동대문,-5.3,-10,-0.7,55.1,33.1,72.7,1.5,5.2,0
20120105,1173,동작,-4.2,-7.1,-0.7,50.3,30.6,67,1.6,4.4,0
20120105,1155,마포,-5.5,-9.1,-0.8,57.4,32.7,74.9,0.8,4.2,0
20120105,1160,서대문,-6,-9.6,-1.6,57.4,35.3,75,1.2,4.9,0
20120105,1158,서초,-4.5,-8.2,-0.8,47.3,25.8,64.1,1.3,3.3,0
20120105,1168,성동,-4.6,-9.3,0.2,48.4,24.8,72.3,1.7,4.7,0
20120105,1153,성북,-5.6,-9.5,-1.9,53.6,35,71.4,1.2,4.6,0
20120105,1166,송파,-4,-10.8,-0.5,50.5,33.9,80.6,1,3.4,0
20120105,1162,양천,-4.3,-7.5,-0.5,52.3,29.9,69.2,1.3,4.1,0
20120105,1157,영등포,-4.7,-8.1,-1.2,57.9,33.6,81.7,2,5.5,0
20120105,1167,용산,-4.2,-7.4,-0.7,48.2,28.6,62.7,1.3,4.9,0
20120105,1172,은평,-5.4,-9.1,-1.3,50.6,29.5,68.4,1.3,4.2,0
20120105,1171,종로,-4.9,-8.3,-0.5,52.7,32.6,69.6,1.2,3.8,0
20120105,1170,중구,-5.8,-10.5,-1.1,39,17.8,57.9,1.4,5.5,0
20120105,1169,중랑,-5,-9.6,-0.9,53.1,31.7,72.2,1.2,4.4,0
20120106,1159,강남,-2.2,-4.5,1.7,53.3,30.9,65.1,1.1,3.9,0
20120106,1175,강동,-1.7,-4.4,1.5,51.2,32.6,61.6,1.8,4.8,0
20120106,1165,강북,-1.8,-4.5,2.4,47.9,30.6,63.8,1.1,3.3,0
20120106,1176,강서,-1.5,-3.1,0.9,53.2,33.1,66.6,1.6,4.5,0
20120106,1174,관악,-1.6,-3.3,1.2,48.4,25.2,63,0,2,0
20120106,1164,광진,-1.5,-4.1,2.2,45.4,31.3,53.6,1.3,4.4,0
20120106,1156,구로,-1.4,-3.1,1.3,51.8,28,68.2,1.7,5.1,0
20120106,1161,금천,-1.9,-4.5,1.6,52.7,28.3,68.4,1.7,4.6,0
20120106,1151,남산,-2.3,-5,0.6,53.7,35,65.5,1.3,4.1,0
20120106,1163,노원,-2,-4.6,2.7,49.8,29.9,64.1,0.8,2.9,0
20120106,1154,도봉,-2.3,-5.9,2.5,50.1,28.4,69,0.9,3.3,0
20120106,1152,동대문,-2,-4.7,2.1,49.5,30.7,59.7,1.7,5.7,0
20120106,1173,동작,-1.2,-3.1,1.5,48,25.8,60.4,1.8,4.6,0
20120106,1155,마포,-1.8,-3.4,1.3,50.5,30,62.1,1.2,3.9,0
20120106,1160,서대문,-2.3,-4.5,1.1,50.9,33.7,61.9,1.6,4.5,0
20120106,1158,서초,-1.4,-4.3,1.7,43.8,20.9,57.9,1.3,3.5,0
20120106,1168,성동,-1.6,-4,2.4,45.7,26.4,60.8,2,4.7,0
20120106,1153,성북,-2.3,-4.6,1.2,47.8,32,59.9,1.4,4.4,0
20120106,1166,송파,-0.8,-5.4,2.3,47.4,30.7,66.5,1.1,3.5,0
20120106,1162,양천,-1.2,-3,1.6,49.5,26.5,61.7,1.4,5,0
20120106,1157,영등포,-1.4,-2.7,1.2,50.9,30.1,62.8,2.4,6,0
20120106,1167,용산,-1.1,-3.1,1.6,45.4,26.3,57.8,1.5,4.7,0
20120106,1172,은평,-1.7,-3.7,1.1,45,29.3,58.9,1.7,4.7,0
20120106,1171,종로,-1.4,-3.3,1.7,47.9,31.8,62.5,1.4,4,0
20120106,1170,중구,-2,-4.5,1.5,33,1,44.3,1.5,5,0
20120106,1169,중랑,-1.9,-4.2,2,49.3,30.9,58.6,1.3,3.9,0
20120107,1159,강남,-1.1,-6.1,1.7,45.9,33.6,64.9,1,2.9,0
20120107,1175,강동,-0.5,-5.4,2.1,44.7,32.1,65.2,1.3,3.4,0
20120107,1165,강북,-0.9,-4.9,2.1,43.2,31.4,59.1,1,2.9,0
20120107,1176,강서,-1.9,-6.7,0.6,54.3,43.3,69,1.2,3.4,0
20120107,1174,관악,-0.9,-4.2,1.8,43.7,32.6,59,0,1,0
20120107,1164,광진,-0.4,-4.9,2.2,41.5,28.6,57.2,1,3.1,0
20120107,1156,구로,-0.9,-4.1,1.6,48.2,33.9,66.9,1.5,4.1,0
20120107,1161,금천,-1.4,-4.8,1.7,47.9,34.3,66.7,1.3,3.6,0
20120107,1151,남산,-1.7,-4.9,0.9,48.7,36.1,61.1,1.3,3.3,0
20120107,1163,노원,-1.1,-6.3,2.1,44.6,28.1,68.2,0.7,2.5,0
20120107,1154,도봉,-1.5,-5.8,2,44.6,30.1,64.1,0.8,2.6,0
20120107,1152,동대문,-0.9,-5.9,2.1,44.4,28.4,62.4,1.2,3.1,0
20120107,1173,동작,-0.9,-4.2,1.8,45.4,33,58.8,1.6,3.1,0
20120107,1155,마포,-2.1,-6.1,1.8,51,33,62.3,0.8,2.6,0
20120107,1160,서대문,-1.8,-4.4,1,47.5,34.7,58.9,1.2,3.3,0
20120107,1158,서초,-0.9,-4.4,2.2,40.4,28.1,55.3,1.1,2.7,0
20120107,1168,성동,-0.5,-4.8,2.6,40.2,25.7,63.1,1.4,3.1,0
20120107,1153,성북,-1.6,-5.2,0.6,43.8,32.5,61.2,1.1,3.4,0
20120107,1166,송파,0.1,-2.3,1.9,41.5,33.1,50,0.8,2.3,0
20120107,1162,양천,-0.8,-3.9,2.4,46,29.8,62,1.2,3.1,0
20120107,1157,영등포,-1.3,-5.4,1.6,50.7,38.9,67,2,4.7,0
20120107,1167,용산,-0.4,-3.6,2.2,40.3,29.6,51.2,1.2,3,0
20120107,1172,은평,-1.4,-4.9,1.3,42.1,31.1,54,1.4,4,0
20120107,1171,종로,-0.9,-4.5,2.2,44,32.4,57.2,1.1,3.4,0
20120107,1170,중구,-1.6,-5.1,1.7,29.4,17.8,42.5,1.2,3,0
20120107,1169,중랑,-0.8,-6.5,2.1,42.8,27.2,62,1.1,3.1,0
20120108,1159,강남,-2.2,-5.3,0.7,60.7,36.4,71.2,0.9,3.8,0
20120108,1175,강동,-1.8,-5.1,1.1,58.3,36.2,66.7,1.4,4.7,0
20120108,1165,강북,-2,-4.8,1.4,56.2,36,64.8,1,3.7,0
20120108,1176,강서,-2.3,-5.3,0.6,65.1,48.9,76.2,1,3.5,0
20120108,1174,관악,-1.6,-3.8,0.9,57.9,37.6,67.4,0,2.3,0
20120108,1164,광진,-1.7,-5.2,1.5,53.5,36.6,62.2,1.1,4.1,0
20120108,1156,구로,-1.7,-4.3,1.3,62.8,40.6,73,1.4,4.5,0
20120108,1161,금천,-2.2,-5.3,1.2,63.3,41.1,74,1.3,4.4,0
20120108,1151,남산,-2.5,-5.5,0.4,61.8,42.1,72,1,3,0
20120108,1163,노원,-2.3,-5.4,1.5,58.6,36,66.7,0.7,3.5,0
20120108,1154,도봉,-3,-6.6,1.5,59.8,36.2,70.6,0.7,3.8,0
20120108,1152,동대문,-2.1,-5.4,1.2,56.9,37.9,66.7,1.5,5,0
20120108,1173,동작,-1.4,-4.1,1.6,57.4,36.7,69,1.3,4.6,0
20120108,1155,마포,-2.5,-5.9,0.8,60.1,44.9,67.9,0.8,3.5,0
20120108,1160,서대문,-2.5,-5.1,0.5,59.5,42.8,70.4,1,3.4,0
20120108,1158,서초,-1.6,-4.5,1.4,53.1,30.5,63.6,1.1,3.6,0
20120108,1168,성동,-1.9,-4.9,1.5,56.3,31.6,70,1.8,4.4,0
20120108,1153,성북,-2.2,-4.9,0.9,55.4,35.8,65,1.3,3.6,0
20120108,1166,송파,-0.6,-4.3,1.4,49.4,38.1,66.2,0.8,2.2,0
20120108,1162,양천,-1.6,-5.1,1.2,60.1,40.9,71.6,1,5,0
20120108,1157,영등포,-1.9,-5,1.4,63.2,43.5,77.1,1.7,5.2,0
20120108,1167,용산,-1.1,-3.8,1.2,53.9,35,62.1,1.1,4.7,0
20120108,1172,은평,-2,-4.7,0.6,53.3,34.5,62.6,1.3,3.9,0
20120108,1171,종로,-1.5,-3.6,1,55,41.6,65.2,1,3.7,0
20120108,1170,중구,-2.5,-6.2,1.6,42.4,23.7,51.3,1.1,4.4,0
20120108,1169,중랑,-1.9,-4.8,1,55.8,38.6,64,1.2,4.3,0
20120109,1159,강남,0.4,-1.7,2.8,67.8,56.6,77.9,1.2,3.9,0
20120109,1175,강동,0.7,-1,3.1,66.1,56.2,76.8,1.6,4.9,0
20120109,1165,강북,0.3,-1.2,3.6,67.1,52.4,75.2,1.1,3.3,0
20120109,1176,강서,0.1,-1.7,2.7,72.8,60.5,84.6,1.1,3.5,0
20120109,1174,관악,0.5,-0.9,2.7,67.8,55.1,80.9,0.3,3.5,0
20120109,1164,광진,0.9,-0.6,3.5,63.1,52.5,73.3,1.4,4.1,0
20120109,1156,구로,0.4,-1.2,2.8,71.2,57.4,83.9,1.5,5.2,0
20120109,1161,금천,0.2,-1.6,2.6,71.6,58.1,82.2,1.3,4.4,0
20120109,1151,남산,-0.2,-1.8,2.5,74.4,60.2,87.6,1,3.6,0
20120109,1163,노원,0.5,-1.2,3.8,68.1,52.2,79.1,0.8,3.1,0
20120109,1154,도봉,-0.1,-2,3.4,67.1,51.4,78.6,0.7,3.8,0
20120109,1152,동대문,0.5,-1,3.4,67.4,54.6,80.7,1.5,5,0
20120109,1173,동작,0.8,-0.6,3.3,67.1,55,80.4,1.6,5.7,0
20120109,1155,마포,0,-2.2,3,70.6,56.5,84.2,0.8,3.4,0
20120109,1160,서대문,-0.4,-2.1,2.7,72.4,58,85.5,1,4.2,0
20120109,1158,서초,0.7,-1,2.9,61.9,50.7,71.1,1.1,3.8,0
20120109,1168,성동,0.6,-1.1,3.6,62.9,49,75.5,1.7,5.1,0
20120109,1153,성북,0,-1.5,2.6,67.1,54.5,77.7,1.3,4.3,0
20120109,1166,송파,1.5,-0.9,3.7,63.4,53.1,71.6,0.9,3.6,0
20120109,1162,양천,0.7,-1,3.3,68.6,55.5,81,1,3.5,0
20120109,1157,영등포,0.3,-1.4,2.8,71.9,59.2,83.8,1.8,5.2,0
20120109,1167,용산,1,-0.3,3.6,64.6,51.5,76.7,1.3,5.1,0
20120109,1172,은평,0.2,-1.2,2.7,66.2,53.3,77.1,1.5,4.9,0
20120109,1171,종로,0.6,-0.9,3.3,67.8,55.1,79.3,1.1,3.5,0
20120109,1170,중구,-0.1,-1.9,3.9,53.5,41.6,65.8,1.3,4.7,0
20120109,1169,중랑,0.5,-1,3.3,66.1,53.4,77.4,1.2,4.1,0
20120110,1159,강남,-1.4,-4.6,1.5,57.1,36.8,77.7,1.5,4.3,0
20120110,1175,강동,-1,-3.8,1.9,60.3,39.8,79.1,2,5.5,0
20120110,1165,강북,-1.6,-4.9,2.4,56.5,35.9,73.9,1.3,3.8,0
20120110,1176,강서,-1.8,-5.2,1.7,64.1,45.1,85.9,1.4,4.4,0
20120110,1174,관악,-1.4,-4.3,1.4,54.1,40.9,81.9,0.5,5.1,0
20120110,1164,광진,-0.7,-4.4,2.2,53.4,36.5,72.2,1.7,5.8,0
20120110,1156,구로,-1.3,-4.2,1.7,57,42.6,84.3,2.1,6.4,0
20120110,1161,금천,-1.4,-4.5,2.1,55.1,42,83.5,1.9,4.6,0
20120110,1151,남산,-2.1,-5.6,1,63.1,44,85.2,1.4,3.8,0
20120110,1163,노원,-1.5,-5.3,2,60.1,36.2,80.5,1.1,3.4,0
20120110,1154,도봉,-2.3,-6.7,2.1,60,35.5,81.9,0.9,4.9,0
20120110,1152,동대문,-1.3,-4.6,2,59.1,35.9,80.6,2,6.2,0
20120110,1173,동작,-1.1,-4.3,2,55.4,38.8,81,2,5.3,0
20120110,1155,마포,-2.2,-5.5,1.8,62.9,40,84.5,1.1,4.4,0
20120110,1160,서대문,-2.4,-5.9,1.1,61.8,41.5,83,1.5,4.1,0
20120110,1158,서초,-0.8,-4,2.2,48.1,35.7,72.2,1.5,3.9,0
20120110,1168,성동,-1.2,-4.3,2.7,52.1,31.9,76.6,1.9,5,0
20120110,1153,성북,-1.9,-4.8,1.1,57.2,38.5,75.3,1.3,4.1,0
20120110,1166,송파,-0.5,-5.1,2.3,52.1,38,76.4,1.1,3.2,0
20120110,1162,양천,-1.2,-5,2.2,56.6,39.5,81.4,1.5,4.4,0
20120110,1157,영등포,-1.6,-5.1,2.3,61.5,43.1,85.4,2.6,6.3,0
20120110,1167,용산,-1,-4.3,2.2,54.3,36.4,74.8,1.8,5.2,0
20120110,1172,은평,-2,-5.7,1.5,56.1,35.9,75,1.9,4.6,0
20120110,1171,종로,-1.3,-4.5,2.1,57.3,38.3,78,1.5,3.9,0
20120110,1170,중구,-2,-6.1,1.9,42.5,25.3,62.4,1.7,5.3,0
20120110,1169,중랑,-1.3,-4.4,1.9,56.6,36.8,76.2,1.6,5.1,0
20120111,1159,강남,-4.8,-6.8,-2.4,46.5,35.1,58.2,2.2,5,0
20120111,1175,강동,-4.2,-6.4,-1.8,44.6,33.2,57.1,2.7,5.2,0
20120111,1165,강북,-4.5,-6.8,-1.8,44.1,33.6,57,1.7,4.8,0
20120111,1176,강서,-5,-7.7,-2.7,52.8,36.2,65.4,1.9,5.4,0
20120111,1174,관악,-5,-7.2,-2.5,46.1,30,58.1,0.1,3.3,0
20120111,1164,광진,-4,-6,-1.7,42.5,30.2,54.9,2.2,4.8,0
20120111,1156,구로,-4.8,-6.9,-2.5,48.9,32.8,63.2,2.6,6.7,0
20120111,1161,금천,-5,-7,-2.5,47.6,33,58.7,2.8,6.7,0
20120111,1151,남산,-5.6,-8.1,-3.5,51.7,36.2,65.8,1.7,4.6,0
20120111,1163,노원,-4.4,-6.6,-1.7,45.1,34.1,57.4,1.2,3.5,0
20120111,1154,도봉,-4.9,-7.5,-1.9,45.8,33.8,59.1,1.6,4,0
20120111,1152,동대문,-4.2,-6.5,-1.9,44.9,32.3,58.4,2,5.2,0
20120111,1173,동작,-4.4,-6.8,-2.2,46.7,32.1,58.5,2.2,5.5,0
20120111,1155,마포,-5.4,-7.9,-2.8,49.8,34.2,65.9,1.8,5.1,0
20120111,1160,서대문,-5.9,-8.4,-3.6,51,35.4,64,2,6.4,0
20120111,1158,서초,-4,-6.3,-1.2,40.7,26.7,52.2,2.2,4.9,0
20120111,1168,성동,-4.5,-6.9,-1.2,40,24.8,56.2,2.7,6.6,0
20120111,1153,성북,-5,-7,-3,44.3,34.1,56.7,1.6,5.4,0
20120111,1166,송파,-3.7,-5.5,-1.7,42.2,33.7,55.7,1.3,3.2,0
20120111,1162,양천,-4.7,-7.1,-2.5,47.2,32.2,59.7,2.7,7.6,0
20120111,1157,영등포,-5,-7.7,-2.5,51.4,35.4,62.9,4.1,8.2,0
20120111,1167,용산,-4.4,-6.8,-2.3,43.5,28.1,56.3,2.3,5,0
20120111,1172,은평,-5.3,-7.6,-3.1,45,28,58,2.7,6.1,0
20120111,1171,종로,-4.8,-7,-2.2,46.7,31.3,58.8,1.8,4.3,0
20120111,1170,중구,-5.3,-8,1.4,31.1,16,45.6,2.4,5.8,0
20120111,1169,중랑,-4.3,-6.5,-2.1,43.5,32.2,55.1,1.8,4.2,0
20120112,1159,강남,-4.1,-8.9,0.1,60.4,37.5,81.4,0.9,3.8,0
20120112,1175,강동,-3.8,-9,0.4,62.4,43.6,82.6,1.3,4.7,0
20120112,1165,강북,-4.4,-9.6,-0.3,57.6,37.1,78.1,1.2,4,0
20120112,1176,강서,-4,-9.5,0.3,64.2,52.6,78.8,1.5,4.9,0
20120112,1174,관악,-3.8,-8.4,0.1,57.8,43.7,86.1,0.4,3.1,0
20120112,1164,광진,-3.7,-9.4,0.5,54.9,39.4,75.9,1.2,3.7,0
20120112,1156,구로,-3.7,-8.4,0.4,60.8,48.5,88.2,2.1,6.4,0
20120112,1161,금천,-4.2,-8.9,0.3,62.2,46.9,88.4,1.6,5.1,0
20120112,1151,남산,-4.7,-10.3,-0.4,65.5,44.1,86.8,1.4,4.6,0
20120112,1163,노원,-4.4,-11.1,0.1,60.5,43.1,78.2,1.1,3.5,0
20120112,1154,도봉,-5.1,-11.3,-0.3,61.3,44.2,77.3,0.9,3.1,0
20120112,1152,동대문,-4.3,-9.9,0.1,60.2,45.6,79.8,1.5,5.6,0
20120112,1173,동작,-3.5,-8.5,0.7,57.3,43.8,82.5,1.9,5.6,0
20120112,1155,마포,-4.4,-9.9,0.4,61.7,47.2,77.8,1,4.5,0
20120112,1160,서대문,-4.8,-10.3,-0.1,61.6,47.3,77.4,1.6,5.7,0
20120112,1158,서초,-3.6,-8.6,1.2,54.2,38.2,75.2,1.2,4.1,0
20120112,1168,성동,-3.8,-9.2,0.4,54,34.3,81.1,1.6,5.4,0
20120112,1153,성북,-4.6,-9.6,-0.5,57.5,37.7,76.1,1.1,4,0
20120112,1166,송파,-3,-10.3,0.2,63.6,43.8,84.1,1.2,4.2,0
20120112,1162,양천,-3.5,-8.9,0.8,58.3,45.4,80.5,1.4,4.6,0
20120112,1157,영등포,-3.8,-9.3,0.5,61.5,47.8,82.5,2,5,0
20120112,1167,용산,-3.4,-8.2,0.7,54.9,38.4,79.5,1.4,4.7,0
20120112,1172,은평,-4.3,-9.7,0,56.4,43.1,73.5,1.6,5.5,0
20120112,1171,종로,-3.8,-8.7,0.5,57.6,38.3,77.6,1.3,4.1,0
20120112,1170,중구,-4.6,-10.4,0.8,44.2,21.6,66.5,1.3,5.1,0
